Key,english,japanese
DecorationMinilampPurpleOuterDesc,"A round purple lamp. Turn on and off with E.","紫色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationTableRoundLight,"Round Table - Light","丸テーブル(ライト)"
DecorationTableRoundLightDesc,"A round table made of light wood.","明るい色の木で出来た丸テーブル"
DecorationTableRoundDark,"Round Table - Dark","丸テーブル(ダーク)"
DecorationTableRoundDarkDesc,"A round table made of dark wood.","暗い色の木で出来た丸テーブル"
DecorationTableRoundAccent,"Round Table - Accent","丸テーブル(アクセント)"
DecorationTableRoundAccentDesc,"An accented round table. Light wood with dark accent.","明るい色の木に暗い色のアクセントが入っている丸テーブル"
DecorationTableSquareLight,"Square Table - Light","四角テーブル(ライト)"
DecorationTableSquareLightDesc,"A Square table made of light wood.","明るい色の木で出来た四角テーブル"
DecorationTableSquareDark,"Square Table - Dark","四角テーブル(ダーク)"
DecorationTableSquareDarkDesc,"A Square table made of dark wood.","暗い色の木で出来た四角テーブル"
DecorationTableSquareAccent,"Square Table - Accent","四角テーブル(アクセント)"
DecorationTableSquareAccentDesc,"An accented Square table. Light wood with dark accent.","明るい色の木に暗い色のアクセントが入っている四角テーブル"
DecorationCeilingFan,"Ceiling Fan","シーリングファン(使用可能)"
DecorationCeilingFanDesc,"A ceiling fan. Turn on and off with E.","使用可能なシーリングファン\n\nEでオン/オフ可能"
DecorationFloorLampLargeSilver,"Floor Lamp - Silver","フロアランプ(銀)"
DecorationFloorLampLargeSilverDesc,"A silver floor lamp. Turn on and off with E.","銀のフロアランプ\n\nEでオン/オフ可能"
DecorationFloorLampLargeBlack,"Floor Lamp - Black","フロアランプ(黒)"
DecorationFloorLampLargeBlackDesc,"A black floor lamp. Turn on and off with E.","黒のフロアランプ\n\nEでオン/オフ可能"
DecorationFloorLampLargeBronze,"Floor Lamp - Bronze","フロアランプ(銅)"
DecorationFloorLampLargeBronzeDesc,"A bronze floor lamp. Turn on and off with E.","銅のフロアランプ\n\nEでオン/オフ可能"

DecorationWineBottleSingle,"Wine Bottle - (1)","ワインボトル(1)"
DecorationWineBottleSingleDesc,"A single wine bottle.","ワインボトル1本"
DecorationWineBottleDouble,"Wine Bottle - (2)","ワインボトル(2)"
DecorationWineBottleDoubleDesc,"A double wine bottle.","ワインボトル2本"
DecorationWineBottleTriple,"Wine Bottle - (3)","ワインボトル(3)"
DecorationWineBottleTripleDesc,"A triple wine bottle.","ワインボトル3本"
DecorationWineRackEmpty,"Wine Rack - Empty","ワインボトルラック(空)"
DecorationWineRackEmptyDesc,"An empty wine rack.","空のワインボトルラック"
DecorationWineRackOne,"Wine Rack - (1)","ワインボトルラック(1)"
DecorationWineRackOneDesc,"A wine rack with one wine bottle.","ワインボトルが1本入っているワインボトルラック"
DecorationWineRackTwo,"Wine Rack - (2)","ワインボトルラック(2)"
DecorationWineRackTwoDesc,"A wine rack with two wine bottles.","ワインボトルが2本入っているワインボトルラック"
DecorationWineRackThree,"Wine Rack - (3)","ワインボトルラック(3)"
DecorationWineRackThreeDesc,"A wine rack with three wine bottles.","ワインボトルが3本入っているワインボトルラック"
DecorationWineRackFour,"Wine Rack - (4)","ワインボトルラック(4)"
DecorationWineRackFourDesc,"A wine rack with four wine bottles.","ワインボトルが4本入っているワインボトルラック"
DecorationWineRackFive,"Wine Rack - (5)","ワインボトルラック(5)"
DecorationWineRackFiveDesc,"A wine rack with five wine bottles.","ワインボトルが5本入っているワインボトルラック"
DecorationWineRackSix,"Wine Rack - (6)","ワインボトルラック(6)"
DecorationWineRackSixDesc,"A wine rack with six wine bottles.","ワインボトルが6本入っているワインボトルラック"
DecorationWineRackSeven,"Wine Rack - (7)","ワインボトルラック(7)"
DecorationWineRackSevenDesc,"A wine rack with seven wine bottles.","ワインボトルが7本入っているワインボトルラック"
DecorationWineRackEight,"Wine Rack - (8)","ワインボトルラック(8)"
DecorationWineRackEightDesc,"A wine rack with eight wine bottles.","ワインボトルが8本入っているワインボトルラック"
DecorationWineRackRandom,"Wine Rack - Partial","ワインボトルラック(ランダム)"
DecorationWineRackRandomDesc,"A wine rack partially filled with wine bottles.","いくつかのワインボトルが入っているワインボトルラック"

DecorationDartBoard,"Dart Board","ダーツボード"
DecorationDartBoardDesc,"A dart board.","ダーツ用の的"
weaponDartThrower,"Dart Throwing","ダーツ用武器"
weaponDartThrowerDesc,"Test your aim on a dart board. You can use green or red darts. Can be used as a tickle weapon on zombies.","ダーツを投げるために使用する武器\n\nリロードキー長押しでダーツをセットします"
ammoDartGreen,"Green Dart","ダーツ(緑)"
ammoDartGreenDesc,"A green dart.","緑色のダーツ"
ammoDartRed,"Red Dart","ダーツ(赤)"
ammoDartRedDesc,"A red dart.","赤色のダーツ"

-----------------Outdoors Blocks-----------------
DecorationTableUmbrellaWhite,"Table Umbrella - White","テーブル用パラソル(白)"
DecorationTableUmbrellaWhiteDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaYellow,"Table Umbrella - Yellow","テーブル用パラソル(黄)"
DecorationTableUmbrellaYellowDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaYellowStripe,"Table Umbrella - Yellow Stripe","テーブル用パラソル(黄/ストライプ)"
DecorationTableUmbrellaYellowStripeDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaOrange,"Table Umbrella - Orange","テーブル用パラソル(オレンジ)"
DecorationTableUmbrellaOrangeDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaOrangeStripe,"Table Umbrella - Orange Stripe","テーブル用パラソル(オレンジ/ストライプ)"
DecorationTableUmbrellaOrangeStripeDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaRed,"Table Umbrella - Red","テーブル用パラソル(赤)"
DecorationTableUmbrellaRedDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaRedStripe,"Table Umbrella - Red Stripe","テーブル用パラソル(赤/ストライプ)"
DecorationTableUmbrellaRedStripeDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaPink,"Table Umbrella - Pink","テーブル用パラソル(ピンク"
DecorationTableUmbrellaPinkDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaPinkStripe,"Table Umbrella - Pink Stripe","テーブル用パラソル(ピンク/ストライプ)"
DecorationTableUmbrellaPinkStripeDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaPurple,"Table Umbrella - Purple","テーブル用パラソル(紫)"
DecorationTableUmbrellaPurpleDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaPurpleStripe,"Table Umbrella - Purple Stripe","テーブル用パラソル(紫/ストライプ)"
DecorationTableUmbrellaPurpleStripeDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaDarkBlue,"Table Umbrella - DarkBlue","テーブル用パラソル(青)"
DecorationTableUmbrellaDarkBlueDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaDarkBlueStripe,"Table Umbrella - DarkBlue Stripe","テーブル用パラソル(青/ストライプ)"
DecorationTableUmbrellaDarkBlueStripeDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaBlue,"Table Umbrella - Blue","テーブル用パラソル(水色)"
DecorationTableUmbrellaBlueDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaBlueStripe,"Table Umbrella - Blue Stripe","テーブル用パラソル(水色/ストライプ)"
DecorationTableUmbrellaBlueStripeDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaGreen,"Table Umbrella - Green","テーブル用パラソル(緑)"
DecorationTableUmbrellaGreenDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationTableUmbrellaGreenStripe,"Table Umbrella - Green Stripe","テーブル用パラソル(緑/ストライプ)"
DecorationTableUmbrellaGreenStripeDesc,"An umbrella that can be placed ontop of a block.","設置可能なパラソル"
DecorationIronBarDoor2x2Block,"2x2 Iron Bar Door","2x2 鉄格子ドア"
DecorationIronBarDoor2x2BlockDesc,"A 2x2 iron bar door. Both doors will open at the same time. Can be locked and passcoded.","2x2サイズの鉄格子ドア\n\n両側のドアが同時に開きます\n\n他のドアと同じように開閉/ロック/パスコードのセットが可能です"
DecorationIronGateGroupDesc,"Iron Gates come in different sizes. They can be opened and closed as well as locked, like any other secure door.","様々なサイズの鉄格子ゲート\n\n他のドアと同じように開閉/ロック/パスコードのセットが可能です"
DecorationIronGate5x3Block,"Iron Gate - 5x3","鉄格子ゲート(5x3)"
DecorationIronGate4x3Block,"Iron Gate - 4x3","鉄格子ゲート(4x3)"
DecorationIronGate4x2Block,"Iron Gate - 4x2","鉄格子ゲート(4x2)"
DecorationIronGate3x2Block,"Iron Gate - 3x2","鉄格子ゲート(3x2)"
DecorationIronGate3x1Block,"Iron Gate - 3x1","鉄格子ゲート(3x1)"
DecorationIronGate2x1Block,"Iron Gate - 2x1","鉄格子ゲート(2x1)"
DecorationIronGate2x2Block,"Iron Gate - 2x2","鉄格子ゲート(2x2)"
DecorationFirepitBlack,"Firepit - Black","焚き火台"
DecorationFirepitBlackDesc,"A black firepit. Turn on and off with E.","黒の焚き火台\n\nEでオン/オフ可能"
DecorationEnterableTentGreen,"Tent - Green","テント(緑)"
DecorationEnterableTentRed,"Tent - Red","テント(赤)"
DecorationEnterableTentBlue,"Tent - Blue","テント(青)"
DecorationEnterableTentPink,"Tent - Pink","テント(ピンク)"
DecorationPackTackleBoxRedLoot,"Tackle Box - Red","タックルボックス(赤)"
DecorationPackTackleBoxBlueLoot,"Tackle Box - Blue","タックルボックス(青)"
-------------------Bathroom Blocks-----------------
DecorationShowerHeadSilver,"Shower Set - Silver","使用可能なシャワー(銀)"
DecorationShowerHeadSilverDesc,"A shower set. Turn on and off with E.","使用可能なシャワー\n\nEでオン/オフ可能"
DecorationShowerHeadBlack,"Shower Set - Black","使用可能なシャワー(黒)"
DecorationShowerHeadBlackDesc,"A shower set. Turn on and off with E.","使用可能なシャワー\n\nEでオン/オフ可能"


--------------------------Second Release-------------------------
----OutdoorBlocks----
DecorationPicketFenceBrownPost,"Brown Picket Fence - Post","茶色い柵(ポスト)"
DecorationPicketFenceBrownPostDesc,"Part of a modular fence set. Has all rotations.","組み合わせ可能な柵セットの一部。\n\n全てのローテーションが可能です。"
DecorationPicketFenceBrown1x1Left,"Brown Picket Fence - 1x1 Left","茶色い柵(1x1/左)"
DecorationPicketFenceBrown1x1LeftDesc,"Left part of a 1x1 fence. Part of a modular fence set. Has all rotations.","1x1柵の左部分。\n\n組み合わせ可能な柵セットの一部。\n\n全てのローテーションが可能です。"
DecorationPicketFenceBrown1x1Center,"Brown Picket Fence - 1x1 Center","茶色い柵(1x1/中心)"
DecorationPicketFenceBrown1x1CenterDesc,"Center part of a 1x1 Center. Part of a modular fence set. Has all rotations.","1x1柵の中心部分。\n\n組み合わせ可能な柵セットの一部。\n\n全てのローテーションが可能です。"
DecorationPicketFenceBrown1x1Right,"Brown Picket Fence - 1x1 Right","茶色い柵(1x1/右)"
DecorationPicketFenceBrown1x1RightDesc,"Right part of a 1x1 Right. Part of a modular fence set. Has all rotations.","1x1柵の右部分。\n\n組み合わせ可能な柵セットの一部。\n\n全てのローテーションが可能です。"
DecorationPicketFenceBrown2x1Left,"Brown Picket Fence - 2x1 Left","茶色い柵(2x1/左)"
DecorationPicketFenceBrown2x1LeftDesc,"Left part of a 2x1 fence. Part of a modular fence set. Has all rotations.","2x1柵の左部分。\n\n組み合わせ可能な柵セットの一部。\n\n全てのローテーションが可能です。"
DecorationPicketFenceBrown2x1Center,"Brown Picket Fence - 2x1 Center","茶色い柵(2x1/中心)"
DecorationPicketFenceBrown2x1CenterDesc,"Center part of a 2x1 Center. Part of a modular fence set. Has all rotations.","2x1柵の中心部分。\n\n組み合わせ可能な柵セットの一部。\n\n全てのローテーションが可能です。"
DecorationPicketFenceBrown2x1Right,"Brown Picket Fence - 2x1 Right","茶色い柵(2x1/右)"
DecorationPicketFenceBrown2x1RightDesc,"Right part of a 2x1 Right. Part of a modular fence set. Has all rotations.","2x1柵の右部分。\n\n組み合わせ可能な柵セットの一部。\n\n全てのローテーションが可能です。"

----IndoorBlocks----
DecorationClayVase1Single,"Clay Vase 1 - Single","壺1(シングル)"
DecorationClayVase1SingleDesc,"A simple clay vase. Can be used for storage.","シンプルな壺。\n\nストレージとして使用可能です。"
DecorationClayVase2Single,"Clay Vase 2 - Single","壺2(シングル)"
DecorationClayVase2SingleDesc,"A simple clay vase. Can be used for storage.","シンプルな壺。\n\nストレージとして使用可能です。"
DecorationClayVase3Single,"Clay Vase 3 - Single","壺3(シングル)"
DecorationClayVase3SingleDesc,"A simple clay vase. Can be used for storage.","シンプルな壺。\n\nストレージとして使用可能です。"
DecorationClayVase1Double,"Clay Vase 1 - Double","壺1(ダブル)"
DecorationClayVase1DoubleDesc,"A simple clay vase. Can be used for storage.","シンプルな壺。\n\nストレージとして使用可能です。"
DecorationClayVase2Double,"Clay Vase 2 - Double","壺2(ダブル)"
DecorationClayVase2DoubleDesc,"A simple clay vase. Can be used for storage.","シンプルな壺。\n\nストレージとして使用可能です。"
DecorationClayVase3Double,"Clay Vase 3 - Double","壺3(ダブル)"
DecorationClayVase3DoubleDesc,"A simple clay vase. Can be used for storage.","シンプルな壺。\n\nストレージとして使用可能です。"

DecorationWoodWindowLight2x1Left,"Wood Window - Light 2x1 - Right",""
DecorationWoodWindowLight2x1LeftDesc,"2x1 light window. Opens right. Open and close with E.",""
DecorationWoodWindowLight2x1LeftOuter,"Wood Window - Light 2x1 Outer - Right",""
DecorationWoodWindowLight2x1LeftOuterDesc,"2x1 light window. Opens right. Open and close with E.",""
DecorationWoodWindowDark2x1Left,"Wood Window - Dark 2x1 - Right",""
DecorationWoodWindowDark2x1LeftDesc,"2x1 dark window. Opens right. Open and close with E.",""
DecorationWoodWindowDark2x1LeftOuter,"Wood Window - Dark 2x1 Outer - Right",""
DecorationWoodWindowDark2x1LeftOuterDesc,"2x1 dark window. Opens right. Open and close with E.",""
DecorationWoodWindowMedium2x1Left,"Wood Window - Medium 2x1 - Right",""
DecorationWoodWindowMedium2x1LeftDesc,"2x1 medium window. Opens right. Open and close with E.",""
DecorationWoodWindowMedium2x1LeftOuter,"Wood Window - Medium 2x1 Outer - Right",""
DecorationWoodWindowMedium2x1LeftOuterDesc,"2x1 medium window. Opens right. Open and close with E.",""

DecorationWoodWindowLight2x1Right,"Wood Window - Light 2x1 - Left",""
DecorationWoodWindowLight2x1RightDesc,"2x1 light window. Opens left. Open and close with E.",""
DecorationWoodWindowLight2x1RightOuter,"Wood Window - Light 2x1 Outer - Left",""
DecorationWoodWindowLight2x1RightOuterDesc,"2x1 light window. Opens left. Open and close with E.",""
DecorationWoodWindowDark2x1Right,"Wood Window - Dark 2x1 - Left",""
DecorationWoodWindowDark2x1RightDesc,"2x1 dark window. Opens left. Open and close with E.",""
DecorationWoodWindowDark2x1RightOuter,"Wood Window - Dark 2x1 Outer - Left",""
DecorationWoodWindowDark2x1RightOuterDesc,"2x1 dark window. Opens left. Open and close with E.",""
DecorationWoodWindowMedium2x1Right,"Wood Window - Medium 2x1 - Left",""
DecorationWoodWindowMedium2x1RightDesc,"2x1 medium window. Opens left. Open and close with E.",""
DecorationWoodWindowMedium2x1RightOuter,"Wood Window - Medium 2x1 Outer - Left",""
DecorationWoodWindowMedium2x1RightOuterDesc,"2x1 medium window. Opens left. Open and close with E.",""


DecorationAleMugCenter,"Ale Mug - Centered",""
DecorationAleMugCenterDesc,"Centered ale mug",""
DecorationAleMugCenterWall,"Ale Mug - Centered Wall",""
DecorationAleMugCenterWallDesc,"Centered ale mug, on wall",""
DecorationAppleBasketCenter,"Apple Basket V2 - Centered",""
DecorationAppleBasketCenterDesc,"Centered apple basket",""
DecorationAppleBasketCenterWall,"Apple Basket V2 - Centered Wall",""
DecorationAppleBasketCenterWallDesc,"Centered apple basket, on wall",""
DecorationMedievalWaterWheel,"Water Wheel",""
DecorationMedievalWaterWheelDesc,"Water Wheel",""
DecorationMedievalWindmillBladesWood,"Windmill Blades - Wood",""
DecorationMedievalWindmillBladesWoodDesc,"Wood windmill blades",""
DecorationMedievalWoodBridge6x2,"Old Wood Bridge - 6x2",""
DecorationMedievalWoodBridge6x2Desc,"6x2 wood bridge",""
DecorationMedievalLamppost,"Stone Lamppost",""
DecorationMedievalLamppostDesc,"Stone medieval lamppost",""
